,precision,recall,f1-score,support
0,0.9998514695234029,0.999684425468721,0.9997679405185137,53870.0
1,1.0,1.0,1.0,53870.0
2,0.9999071822383931,0.9998886207536662,0.9998979014098888,53870.0
3,0.9997772828507795,0.9999628735845554,0.9998700696055685,53870.0
4,1.0,1.0,1.0,53870.0
accuracy,0.9999071839613886,0.9999071839613886,0.9999071839613886,0.9999071839613886
macro avg,0.9999071869225151,0.9999071839613884,0.9999071823067942,269350.0
weighted avg,0.999907186922515,0.9999071839613886,0.9999071823067942,269350.0
