,precision,recall,f1-score,support
0,0.9954244854861716,0.9975125301652126,0.9964674139801396,53870.0
1,0.9971357729138167,0.994733138580293,0.995933006692926,46897.0
accuracy,0.9962190002679449,0.9962190002679449,0.9962190002679449,0.9962190002679449
macro avg,0.9962801291999941,0.9961228343727528,0.9962002103365328,100767.0
weighted avg,0.9962209193037337,0.9962190002679449,0.9962187006260806,100767.0
