,precision,recall,f1-score,support
0,0.9242599905800515,0.9471134211991832,0.9355471615079948,53870.0
1,0.9374739383298585,0.9108471757255262,0.9239687655469274,46897.0
accuracy,0.9302350968074866,0.9302350968074866,0.9302350968074866,0.9302350968074866
macro avg,0.930866964454955,0.9289802984623547,0.9297579635274611,100767.0
weighted avg,0.9304097668721183,0.9302350968074866,0.9301585716384326,100767.0
