,precision,recall,f1-score,support
0,0.9529860228716646,0.9745684054204566,0.9636563876651982,53870.0
1,0.9739791073124406,0.9519212919992575,0.9628238828389035,53870.0
accuracy,0.963244848709857,0.963244848709857,0.963244848709857,0.963244848709857
macro avg,0.9634825650920527,0.963244848709857,0.9632401352520509,107740.0
weighted avg,0.9634825650920527,0.963244848709857,0.9632401352520509,107740.0
