,precision,recall,f1-score,support
0,0.999962874962875,1.0,0.9999814371368639,53870.0
1,1.0,0.9999628735845554,0.9999814364476787,53870.0
accuracy,0.9999814367922777,0.9999814367922777,0.9999814367922777,0.9999814367922777
macro avg,0.9999814374814375,0.9999814367922777,0.9999814367922712,107740.0
weighted avg,0.9999814374814374,0.9999814367922777,0.9999814367922712,107740.0
